title,matched_title,gutenberg_id,download_url
Nostromo,Nostromo: A Tale of the Seaboard,2021,https://www.gutenberg.org/files/2021/2021-0.txt
Deirdre of the Sorrows,Deirdre of the Sorrows,1922,https://www.gutenberg.org/files/1922/1922-0.txt
This Side of Paradise,This Side of Paradise,805,https://www.gutenberg.org/files/805/805-0.txt
The Fortunes of Nigel,The Fortunes of Nigel,5950,https://www.gutenberg.org/files/5950/5950-0.txt
Rilla of Ingleside,Rilla of Ingleside,26265,https://www.gutenberg.org/files/26265/26265-readme.txt
Tik-Tok of Oz,Tik-Tok of Oz,23076,https://www.gutenberg.org/files/23076/23076-readme.txt
The Two Noble Kinsmen,A Letter on Shakspere's Authorship of The Two Noble Kinsmen: and on the characteristics of Shakspere's style and the secret of his supremacy,35631,https://www.gutenberg.org/files/35631/35631-0.txt
Jewels of Gwahlur,Jewels of Gwahlur,42236,https://www.gutenberg.org/ebooks/42236.txt.utf-8
Rupert of Hentzau,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim: Sequel to The Prisoner of Zenda,1145,https://www.gutenberg.org/files/1145/1145-0.txt
Mary Anerley,Mary Anerley: A Yorkshire Tale,6824,https://www.gutenberg.org/files/6824/6824-0.txt
Beowulf,Beowulf: An Anglo-Saxon Epic Poem,16328,https://www.gutenberg.org/files/16328/16328-0.txt
The Enchanted Island of Yew,The Enchanted Island of Yew,21164,https://www.gutenberg.org/files/21164/21164-readme.txt
The Autobiography of a Super-Tramp,The Autobiography of a Super-Tramp,51425,https://www.gutenberg.org/ebooks/51425.txt.utf-8
The Chimes,The Chimes: A Goblin Story of Some Bells That Rang an Old Year out and a New Year In,653,https://www.gutenberg.org/files/653/653-0.txt
Box and Cox,Box and Cox: A Romance of Real Life in One Act.,42523,https://www.gutenberg.org/ebooks/42523.txt.utf-8
The Castle of Otranto,The Castle of Otranto,696,https://www.gutenberg.org/files/696/696-0.txt
An Ideal Husband,An Ideal Husband,885,https://www.gutenberg.org/files/885/885-0.txt
Jerusalem Delivered,Jerusalem Delivered,392,https://www.gutenberg.org/files/392/392-0.txt
Father Sergius,Father Sergius,985,https://www.gutenberg.org/files/985/985-0.txt
The Coxon Fund,The Coxon Fund,1193,https://www.gutenberg.org/files/1193/1193-0.txt
The Secret Battle,The Secret Battleplane,51796,https://www.gutenberg.org/files/51796/51796-0.txt
Where Angels Fear to Tread,Where Angels Fear to Tread,2948,https://www.gutenberg.org/files/2948/2948-0.txt
The Way of All Flesh,The Way of All Flesh,2084,https://www.gutenberg.org/files/2084/2084-0.txt
The Nest of the Sparrowhawk,The Nest of the Sparrowhawk: A Romance of the XVIIth Century,12175,https://www.gutenberg.org/ebooks/12175.txt.utf-8
The Story of a Bad Boy,The Story of a Bad Boy,1948,https://www.gutenberg.org/files/1948/1948-0.txt
Cavalleria rusticana,Rustic Chivalry (Cavalleria Rusticana): Melodrama in One Act,48007,https://www.gutenberg.org/files/48007/48007-0.txt
The Woodlanders,The Woodlanders,482,https://www.gutenberg.org/files/482/482-0.txt
The Outlaw of Torn,The outlaw of Torn,369,https://www.gutenberg.org/files/369/369-0.txt
Mrs. Warren's Profession,Mrs. Warren's Profession,1097,https://www.gutenberg.org/files/1097/1097-0.txt
The Wailing Asteroid,The Wailing Asteroid,50022,https://www.gutenberg.org/ebooks/50022.txt.utf-8
Walam Olum,"The Lenâpé and Their Legends: With the complete text and symbols of the Walam olum, a new translation, and an inquiry into its authenticity",46422,https://www.gutenberg.org/files/46422/46422-0.txt
